PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Jose Alvarado,NOP,25,6-0,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,61,9,2.3,3,3.7,2.2,8.7,19.1,52.5,19.9
Josh Christopher,HOU,21,6-4,215,Arizona State,USA,2021,1,24,64,5.8,1.1,1.1,-13.9,2.4,6.8,21.5,52.3,14.9
Josh Giddey,OKC,20,6-8,216,None,Australia,2021,1,6,76,16.6,7.9,6.2,-2.2,5.8,18.9,23.9,53.3,29.3
Josh Green,DAL,22,6-7,200,Arizona,Australia,2020,1,18,60,9.1,3,1.7,2.5,3.7,8.7,14,64.5,9.6
Josh Hart,NYK,28,6-4,215,Villanova,USA,2017,1,30,76,9.8,7.8,3.8,5.9,6,18.5,12.4,62.2,15.4
Josh Minott,MIN,20,6-8,205,Memphis,USA,2022,2,45,15,3.1,1.7,0.3,10.4,5.4,19.4,17.6,58.2,6.5
Josh Okogie,PHX,24,6-4,213,Georgia Tech,Nigeria,2018,1,20,72,7.3,3.5,1.5,4.9,7.8,10.2,17.4,53.1,10.4
Josh Richardson,NOP,29,6-6,200,Tennessee,USA,2015,2,40,65,10.1,2.7,2.7,-5.2,2.6,8.7,18,55.5,16
Joshua Primo,SAS,20,6-6,189,Alabama,Canada,2021,1,12,4,7,3.3,4.5,1.7,1.9,11.3,17.3,46.7,23.7
Jrue Holiday,MIL,32,6-5,205,UCLA,USA,2009,1,17,67,19.3,5.1,7.4,9.2,3.5,10.7,24.4,58.6,32.1
Juan Toscano-Anderson,UTA,30,6-6,209,Marquette,USA,Undrafted,Undrafted,Undrafted,52,3,2.4,1.3,-9.9,3.7,12.8,10.9,50.5,12.2
Juancho Hernangomez,TOR,27,6-9,214,None,Spain,2016,1,15,42,2.9,2.9,0.6,0.5,4.2,16.9,9.2,50.4,5.1
Julian Champagnie,SAS,21,6-7,217,St. John's,USA,Undrafted,Undrafted,Undrafted,17,9.7,3.5,0.6,-10.6,2.7,14.7,18.1,60,4.3
Julius Randle,NYK,28,6-8,250,Kentucky,USA,2014,1,7,77,25.1,10,4.1,2.7,5,22.6,28.8,58.1,18.4
Justin Champagnie,BOS,21,6-6,206,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,5,2.2,1.6,0.8,-9.5,8.8,17.9,18.8,36.7,14.8
Justin Holiday,DAL,34,6-6,180,Washington,USA,Undrafted,Undrafted,Undrafted,46,4.5,1.2,0.9,-9.1,0.7,6.7,13.2,49.4,8
Justin Jackson,BOS,28,6-8,220,North Carolina,USA,2017,1,15,23,0.9,0.7,0.4,-28.3,1.7,11.9,12.2,35.9,14.5
Justin Minaya,POR,24,6-7,210,Providence,USA,Undrafted,Undrafted,Undrafted,4,4.3,3.8,1,-12,3,13.5,12.3,36.3,5.6
Justise Winslow,POR,27,6-6,222,Duke,USA,2015,1,10,29,6.8,5,3.4,-2.6,6.2,12.3,13.9,46.6,17.7
Jusuf Nurkic,POR,28,7-0,290,None,Bosnia and Herzegovina,2014,1,16,52,13.3,9.1,2.9,0.3,8.4,25.8,21.8,58.9,16
KZ Okpala,SAC,24,6-8,215,Stanford,USA,2019,2,32,35,1.3,1,0.4,1.5,2.8,10.2,8.1,55.4,6.5
Kai Jones,CHA,22,6-11,221,Texas,Bahamas,2021,1,19,46,3.4,2.7,0.3,-3.1,6.5,14.6,12.1,59.7,4.1
Karl-Anthony Towns,MIN,27,7-0,248,Kentucky,USA,2015,1,1,29,20.8,8.1,4.8,1.8,5,18.1,25,61.8,22.5
Kawhi Leonard,LAC,31,6-7,225,San Diego State,USA,2011,1,15,52,23.8,6.5,3.9,6.1,3.4,16,26.7,62.3,19
Keegan Murray,SAC,22,6-8,225,Iowa,USA,2022,1,4,80,12.2,4.6,1.2,1.7,3.8,12.3,15.6,59.7,5.3
Keita Bates-Diop,SAS,27,6-8,229,Ohio State,USA,2018,2,48,67,9.7,3.7,1.5,-8.5,4.2,13,16.5,60.9,9.9
Keldon Johnson,SAS,23,6-5,220,Kentucky,USA,2019,1,29,63,22,5,2.9,-11.3,2.5,13.3,27.3,55.1,13.7
Kelly Olynyk,UTA,32,6-11,240,Gonzaga,Canada,2013,1,13,68,12.5,6.2,3.7,0.4,4.2,16.4,17.6,64.3,17.3
Kelly Oubre Jr.,CHA,27,6-6,203,Kansas,USA,2015,1,15,48,20.3,5.2,1.1,-7.7,3.8,12.1,25.7,53.4,5.7
Kemba Walker,DAL,33,6-0,184,Connecticut,USA,2011,1,9,9,8,1.8,2.1,-1.9,2,9,21.5,54.3,21.6
Kendall Brown,IND,20,6-7,205,Baylor,USA,2022,2,48,6,1.5,1,0.5,8.2,5.1,8.9,9.3,57.1,9.1
Kendrick Nunn,WAS,27,6-3,190,Oakland,USA,Undrafted,Undrafted,Undrafted,70,7.1,1.6,1.3,-2.3,1.5,9,22.7,53,13.7
Kennedy Chandler,MEM,20,5-11,170,Tennessee,USA,2022,2,38,36,2.2,1.1,1.6,-5.4,2.9,10.3,15,44,27.8
Kenneth Lofton Jr.,MEM,20,6-6,275,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,24,5,2.1,0.8,-13.4,9.7,19.8,26.7,57.2,19.8
Kenrich Williams,OKC,28,6-6,210,TCU,USA,Undrafted,Undrafted,Undrafted,53,8,4.9,2,4.1,7.5,13.7,13.4,58.5,11.7
Kentavious Caldwell-Pope,DEN,30,6-5,204,Georgia,USA,2013,1,8,76,10.8,2.7,2.4,9.8,1.6,7.4,13.6,59.8,9.2
Kenyon Martin Jr.,HOU,22,6-7,215,None,USA,2020,2,52,82,12.7,5.5,1.5,-8,5.2,14.3,16,63.5,7.9
Keon Ellis,SAC,23,6-3,175,Alabama,USA,Undrafted,Undrafted,Undrafted,16,1.5,0.5,0.4,-14.3,5.6,6.3,12.4,62.9,13.6
Keon Johnson,POR,21,6-3,185,Tennessee,USA,2021,1,21,40,4.7,1.1,1.5,-16.2,2.5,8.6,23.7,48.2,22.6
Kessler Edwards,SAC,22,6-7,203,Pepperdine,USA,2021,2,44,36,2.8,1.7,0.6,2.2,5.9,10.2,11.9,50.2,7.3
Kevin Durant,PHX,34,6-10,240,Texas,USA,2007,1,2,47,29.1,6.7,5,6.8,1.2,16.6,30.5,67.7,22.8
Kevin Huerter,SAC,24,6-7,198,Maryland,USA,2018,1,19,75,15.2,3.3,2.9,4.5,2,10,19.7,61.7,13.7
Kevin Knox II,POR,23,6-7,215,Kentucky,USA,2018,1,9,63,6.6,2.8,0.5,-11.4,3.3,15.2,17.5,57.9,5.3
Kevin Love,MIA,34,6-8,251,UCLA,USA,2008,1,5,62,8.2,6.4,1.9,3.9,5,28.7,18.5,54.8,13.1
Kevin Porter Jr.,HOU,23,6-4,203,Southern California,USA,2019,1,30,59,19.2,5.3,5.7,-8.3,3.6,11.7,23.9,56.5,26
Kevon Harris,ORL,25,6-6,216,Stephen F. Austin,USA,Undrafted,Undrafted,Undrafted,34,4.1,2.1,0.5,0.3,5.7,9.2,12.9,56.4,4.9
Kevon Looney,GSW,27,6-9,222,UCLA,USA,2015,1,30,82,7,9.3,2.5,4.4,13.5,23.4,10.4,63.9,13.6
Khem Birch,SAS,30,6-8,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,20,2.2,1.3,0.4,2.8,5.1,11.8,11.3,62.9,6.3
Khris Middleton,MIL,31,6-7,222,Texas A&M,USA,2012,2,39,33,15.1,4.2,4.9,6.1,3.4,12.2,25.9,55.1,28.8
Killian Hayes,DET,21,6-5,195,None,France,2020,1,7,76,10.3,2.9,6.2,-10.9,1.2,9.2,20.1,45.5,32.5
Kira Lewis Jr.,NOP,22,6-1,170,Alabama,USA,2020,1,13,25,4.6,1.3,0.9,11.2,2.1,10.9,19.2,58.4,13.7
Klay Thompson,GSW,33,6-6,220,Washington State,USA,2011,1,11,69,21.9,4.1,2.4,2.9,1.7,10.1,25.6,57.6,10.5
Kobi Simmons,CHA,25,6-5,180,Arizona,USA,Undrafted,Undrafted,Undrafted,5,1,0.8,1,-34.9,3.6,8.8,11.9,36.3,31.3
Kris Dunn,UTA,29,6-3,205,Providence,USA,2016,1,5,22,13.2,4.5,5.6,-4.3,1.5,14.8,19.5,60.6,31.5
Kristaps Porzingis,WAS,27,7-3,240,None,Latvia,2015,1,4,65,23.2,8.4,2.7,1.4,5.7,19.4,27.2,62.7,12.5
Kyle Anderson,MIN,29,6-9,230,UCLA,USA,2014,1,30,69,9.4,5.3,4.9,2.3,3.5,15.2,14.3,58.3,22.5
Kyle Kuzma,WAS,27,6-9,221,Utah,USA,2017,1,27,64,21.2,7.2,3.7,0.3,2.5,17.2,27.3,54.4,16.4
Kyle Lowry,MIA,37,6-0,196,Villanova,USA,2006,1,24,55,11.2,4.1,5.1,1.1,2.5,11.2,16.2,56.5,23.3
Kyrie Irving,DAL,31,6-2,195,Duke,Australia,2011,1,1,60,27.1,5.1,5.5,4.7,2.9,10.7,28.6,61.3,23.3
LaMelo Ball,CHA,21,6-7,180,None,USA,2020,1,3,36,23.3,6.4,8.4,-4.7,3.1,14.7,28.9,54.1,35.2
Lamar Stevens,CLE,25,6-6,230,Penn State,USA,Undrafted,Undrafted,Undrafted,62,5.3,3.3,0.5,1.2,4.6,14.5,13.6,52.4,4
Landry Shamet,PHX,26,6-4,190,Wichita State,USA,2018,1,26,40,8.7,1.7,2.3,2.2,1.3,7,18.6,53.7,16.7
Larry Nance Jr.,NOP,30,6-8,245,Wyoming,USA,2015,1,27,65,6.8,5.4,1.8,6.7,8.1,18.4,11.8,64.9,11.7
Lauri Markkanen,UTA,26,7-0,240,Arizona,Finland,2017,1,7,66,25.6,8.6,1.9,3.8,5.5,18.3,25.9,64.1,8.6
LeBron James,LAL,38,6-9,250,None,USA,2003,1,1,55,28.9,8.3,6.8,4.6,3.3,19.1,32.2,58.3,30.8
Leandro Bolmaro,UTA,22,6-6,200,None,Argentina,2020,1,23,14,0.4,0.5,0.5,0.7,5.1,4,15.5,15,12.1
Lester Quinones,GSW,22,6-4,208,Memphis,USA,Undrafted,Undrafted,Undrafted,4,2.5,0.8,0.5,14.6,7.1,8.7,28.3,65.4,12.5
Lindell Wigginton,MIL,25,6-1,189,Iowa State,Canada,2019,,,7,7.1,1,2,-20.2,0,7.7,25.1,61,26.4
Lindy Waters III,OKC,25,6-6,210,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,41,5.2,1.8,0.7,10.5,2.8,10.3,14.8,57.3,7.1
Lonnie Walker IV,LAL,24,6-4,204,Miami,USA,2018,1,18,56,11.7,1.9,1.1,-7.3,1.1,6.9,19.8,57,7.1
Louis King,PHI,24,6-7,205,Oregon,USA,Undrafted,Undrafted,Undrafted,1,20,4,2,5.2,6.7,7.4,20.5,74.4,9.1
Luguentz Dort,OKC,24,6-4,220,Arizona State,Canada,Undrafted,Undrafted,Undrafted,74,13.7,4.6,2.1,0.9,5.3,9.2,19.4,51.3,9
Luka Doncic,DAL,24,6-7,230,None,Slovenia,2018,1,3,66,32.4,8.6,8,2.1,2.4,22.4,36.8,60.9,40.8
Luka Garza,MIN,24,6-10,243,Iowa,USA,2021,2,52,28,6.5,2.3,0.6,2,13,12.8,24.5,65.2,10.3
Luka Samanic,UTA,23,6-10,227,None,Croatia,2019,1,19,7,9.9,4.3,2.1,-1.7,0,16.1,19.3,55,11.5
Luke Kennard,MEM,26,6-5,206,Duke,USA,2017,1,12,59,9.3,2.7,1.5,7.3,1.2,10.4,14.4,68.4,9.1
Luke Kornet,BOS,27,7-2,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,69,3.8,2.9,0.8,3.9,10.6,12.5,11.1,69.7,9.3
Mac McClung,PHI,24,6-2,185,Texas Tech,USA,Undrafted,Undrafted,Undrafted,2,12.5,5,4.5,19.6,7.3,15.2,24.3,56.3,29
Malachi Flynn,TOR,25,6-1,175,San Diego State,USA,2020,1,29,53,4.6,1.4,1.3,-3.5,1.9,9.7,16.8,47.9,14.5
Malaki Branham,SAS,20,6-4,180,Ohio State,USA,2022,1,20,66,10.2,2.7,1.9,-11.1,1.7,9.8,18.8,52.4,11.2
Malcolm Brogdon,BOS,30,6-4,229,Virginia,USA,2016,2,36,67,14.9,4.2,3.7,5.1,2.4,13.2,22.3,61.5,22.3
Malcolm Hill,CHI,27,6-6,220,Illinois,USA,Undrafted,Undrafted,Undrafted,5,1,0.6,0,39.1,0,21.4,16.7,62.5,0
Malik Beasley,LAL,26,6-4,187,Florida State,USA,2016,1,19,81,12.7,3.5,1.5,-2.2,1.6,11.6,20.7,53.1,8.6
Malik Monk,SAC,25,6-3,200,Kentucky,USA,2017,1,11,77,13.5,2.6,3.9,1,1.9,9.7,24.7,58.7,25.8
Mamadi Diakite,CLE,26,6-9,228,Virginia,Guinea,Undrafted,Undrafted,Undrafted,22,2.6,1.4,0.4,0.7,5.1,13.3,16.4,56,7
MarJon Beauchamp,MIL,22,6-7,199,None,USA,2022,1,24,52,5.1,2.2,0.7,-7.2,5,10.3,17.5,51.3,7.2
Marcus Morris Sr.,LAC,33,6-8,218,Kansas,USA,2011,1,14,65,11.2,4,1.8,-0.3,1.7,12.7,17.6,53.4,9
Marcus Smart,BOS,29,6-4,220,Oklahoma State,USA,2014,1,6,61,11.5,3.1,6.3,6.3,2.4,7.3,17.6,53.8,25.6
Mark Williams,CHA,21,7-0,240,Duke,USA,2022,1,15,43,9,7.1,0.4,-4.7,10.6,23.2,16.8,65.9,3.3
Markelle Fultz,ORL,25,6-4,209,Washington,USA,2017,1,1,60,14,3.9,5.7,-3.7,3.8,9.5,20.8,56.4,29
Markieff Morris,DAL,33,6-9,245,Kansas,USA,2011,1,13,35,3.8,2,0.9,1.7,3.7,15,15.9,55.3,11.4
Marko Simonovic,CHI,23,7-0,220,None,Montenegro,2020,2,44,7,0.9,0.3,0,27.3,4.3,5.9,14.5,38.1,0
Marvin Bagley III,DET,24,6-10,235,Duke,USA,2018,1,2,42,12,6.4,0.9,-10.6,9.1,17.9,20.2,58.7,5.8
Mason Plumlee,LAC,33,7-0,254,Duke,USA,2013,1,22,79,10.8,8.9,3.1,-5.9,10.5,23.8,14.9,68.9,16.6
Matisse Thybulle,POR,26,6-5,201,Washington,USA,2019,1,20,71,4.1,2,0.7,-0.5,3.2,8.5,10.2,55.2,5.9
Matt Ryan,MIN,26,6-6,215,Tennessee-Chattanooga,USA,Undrafted,Undrafted,Undrafted,34,3.6,0.8,0.5,2.2,1.3,6.7,15.7,53.8,6.8
Matthew Dellavedova,SAC,32,6-3,200,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,32,1.5,0.4,1.3,-8.8,0.5,5.4,12.2,44.3,27.9
Max Christie,LAL,20,6-5,190,Michigan State,USA,2022,2,35,41,3.1,1.8,0.5,-7.1,1.2,12.6,10,56.6,5.4
Max Strus,MIA,27,6-5,215,DePaul,USA,Undrafted,Undrafted,Undrafted,80,11.5,3.2,2.1,-3.8,2.1,9.7,17,55.7,11.5
Maxi Kleber,DAL,31,6-10,240,None,Germany,Undrafted,Undrafted,Undrafted,37,5.9,3.6,1.4,-2.9,3.3,11.6,10,59.2,7.9
McKinley Wright IV,DAL,24,5-11,192,Colorado,USA,Undrafted,Undrafted,Undrafted,27,4.2,1.7,2.1,-14.9,2.6,10.9,16,53.6,27.5
Meyers Leonard,MIL,31,7-0,260,Illinois,USA,2012,1,11,9,4.8,3.8,0.1,-12.5,10.3,19.5,14,65.2,1.2
Mfiondu Kabengele,BOS,25,6-10,250,Florida State,Canada,2019,1,27,4,1.5,2.5,0,-6.9,13.2,15.2,10.7,38.1,0
Micah Potter,UTA,25,6-8,248,Wisconsin,USA,Undrafted,Undrafted,Undrafted,7,3.4,2.3,0.6,-4.2,4.6,22,12.1,80,13.3
Michael Carter-Williams,ORL,31,6-5,190,Syracuse,USA,2013,1,11,4,4.3,1.3,1.8,-32.4,2.1,12.5,19.1,49.8,28
Michael Foster Jr.,PHI,20,6-8,250,None,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-100,0,0,0,0,0
Michael Porter Jr.,DEN,24,6-10,218,Missouri,USA,2018,1,14,62,17.4,5.5,1,10.4,3.8,15.1,22,62.1,4.8
Mikal Bridges,BKN,26,6-6,209,Villanova,USA,2018,1,10,83,20.1,4.4,3.3,0.8,2.6,9.4,22.3,58.7,14.1
Mike Conley,MIN,35,6-1,175,Ohio State,USA,2007,1,4,67,11.9,2.7,6.7,1.3,1.6,7.5,16.1,58.3,29.5
Mike Muscala,BOS,31,6-11,240,Bucknell,USA,2013,2,44,63,6.1,3.2,0.8,8.8,3.8,16.1,14.6,60.8,6.9
Miles McBride,NYK,22,6-2,195,West Virginia,USA,2021,2,36,64,3.5,0.8,1.1,3.6,1.6,4.7,14.1,47.5,13
Mitchell Robinson,NYK,25,7-0,240,Western Kentucky,USA,2018,2,36,59,7.4,9.4,0.9,7.3,16.4,17.8,10.1,65.2,4.4
Mo Bamba,LAL,25,7-0,231,Texas,USA,2018,1,6,49,6.6,4.6,0.9,1.5,7.6,19.8,16.6,60.2,8.6
Monte Morris,WAS,27,6-2,183,Iowa State,USA,2017,2,51,62,10.3,3.4,5.3,0.1,1.6,10.6,15.5,57.9,24.9
Montrezl Harrell,PHI,29,6-7,240,Louisville,USA,2015,2,32,57,5.6,2.8,0.6,2.2,10,13.3,17.8,63.1,7.3
Moritz Wagner,ORL,26,6-11,245,Michigan,Germany,2018,1,25,57,10.5,4.5,1.5,-1.1,6,17.2,20.1,63,11.5
Moses Brown,BKN,23,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted,36,4.3,3.9,0.1,3.5,16.5,26.2,18.8,60.7,2.1
Moses Moody,GSW,21,6-5,211,Arkansas,USA,2021,1,14,63,4.8,1.7,0.8,-0.6,3.4,9.1,14.1,60.3,8.5
Moussa Diabate,LAC,21,6-10,210,Michigan,France,2022,2,43,22,2.7,2.3,0.2,-3.2,13.7,10.6,12.5,54.6,2.9
Myles Turner,IND,27,6-11,250,Texas,USA,2015,1,11,62,18,7.5,1.4,-1.2,4.9,20.5,22.5,65.1,7.4
Naji Marshall,NOP,25,6-7,220,Xavier,USA,Undrafted,Undrafted,Undrafted,77,9.1,3.6,2.5,-0.1,2.7,13.2,17.2,53.9,14.7
Nassir Little,POR,23,6-5,220,North Carolina,USA,2019,1,25,54,6.6,2.6,0.9,-8.8,2.8,12.2,15.8,55.5,7.5
Nathan Knight,MIN,25,6-8,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,38,3.7,1.5,0.3,-2.3,7.2,11.8,17.7,65.5,6.5
Naz Reid,MIN,23,6-9,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,68,11.5,4.9,1.1,-4.2,5.8,20.5,24.2,61.7,9.8
Neemias Queta,SAC,23,7-0,248,Utah State,Portugal,2021,2,39,5,2.4,2.2,0.2,-43.5,13.5,21.4,14.1,60.7,6.7
Nerlens Noel,BKN,29,6-10,220,Kentucky,USA,2013,1,6,17,2.1,2.7,0.6,-16.8,4.7,18.9,11.3,42.4,7.4
Nic Claxton,BKN,24,6-11,215,Georgia,USA,2019,2,31,76,12.6,9.2,1.9,3.7,8.8,21.3,15.5,69.1,9.1
Nick Richards,CHA,25,7-0,245,Kentucky,Jamaica,2020,2,42,65,8.2,6.4,0.6,-4.5,11.3,21,15.1,67.6,4.6
Nickeil Alexander-Walker,MIN,24,6-5,205,Virginia Tech,Canada,2019,1,17,59,6.2,1.7,1.8,-2,1.7,9.5,17.7,56.5,16.8
Nicolas Batum,LAC,34,6-8,230,None,France,2008,1,25,78,6.1,3.8,1.6,4.5,3.6,13.5,11.1,59.4,9.5
Nikola Jokic,DEN,28,6-11,284,None,Serbia,2014,2,41,69,24.5,11.8,9.8,12.5,8,28.3,26.3,70.1,41.2
Nikola Jovic,MIA,19,6-10,205,None,Serbia,2022,1,27,15,5.5,2.1,0.7,-3.5,4.3,11.9,18.5,53,7.6
Nikola Vucevic,CHI,32,6-10,260,Southern California,Montenegro,2011,1,16,82,17.6,11,3.2,-0.5,6.2,27.4,21.8,59.4,14.6
Noah Vonleh,BOS,27,6-10,257,Indiana,USA,2014,1,9,23,1.1,2.1,0.3,-1.4,11,17.4,9,50.2,5.1
Norman Powell,LAC,30,6-4,215,UCLA,USA,2015,2,46,60,17,2.9,1.8,-3.8,1.5,9.3,25.1,61.2,11.5
